,Concept 1,Concept 2,Count
4292,Technologies (Adaptation) – Water Management And Conservation Technologies,Fossil Fuels – Oil,53
4293,Good Practice And Opportunities – Opportunity,Fossil Fuels – Oil,629
4294,Greenhouse Gases – Emissions,Fossil Fuels – Oil,20849
4295,Sectors – Energy,Fossil Fuels – Oil,20121
4296,Vulnerable Groups – Local And Rural Communities,Renewables – Hydropower,28
4297,Technologies (Adaptation) – Water Management And Conservation Technologies,Renewables – Hydropower,44
4298,Renewables – Hydropower,Good Practice And Opportunities – Opportunity,214
4299,Renewables – Hydropower,Greenhouse Gases – Emissions,1516
4300,Vulnerable Groups – Local And Rural Communities,Technologies (Adaptation) – Water Management And Conservation Technologies,14
4301,Vulnerable Groups – Local And Rural Communities,Good Practice And Opportunities – Opportunity,361
4302,Vulnerable Groups – Local And Rural Communities,Greenhouse Gases – Emissions,268
4303,Vulnerable Groups – Local And Rural Communities,Sectors – Energy,326
4304,Technologies (Adaptation) – Water Management And Conservation Technologies,Good Practice And Opportunities – Opportunity,66
4305,Technologies (Adaptation) – Water Management And Conservation Technologies,Greenhouse Gases – Emissions,595
4306,Technologies (Adaptation) – Water Management And Conservation Technologies,Sectors – Energy,177
4307,Sectors – Energy,Good Practice And Opportunities – Opportunity,4604
4308,Technologies (Mitigation) – Energy And Power Technologies,Mitigation – Mitigation,1983
4309,Technologies (Mitigation) – Buildings And Homes Technologies,Greenhouse Gases – Emissions,774
4310,Technologies (Mitigation) – Buildings And Homes Technologies,Policy Instruments – Information And Education,402
4311,Technologies (Mitigation) – Buildings And Homes Technologies,Policy Instruments – Regulatory Instruments,1526
4312,Sectors – Energy,Deforestation – Deforestation,668
4313,Technologies (Mitigation) – Energy And Power Technologies,Deforestation – Deforestation,135
4314,Technologies (Mitigation) – Buildings And Homes Technologies,Deforestation – Deforestation,39
4315,Technologies (Mitigation) – Buildings And Homes Technologies,Sectors – Energy,2176
4316,Technologies (Mitigation) – Buildings And Homes Technologies,Financial Flows – Financial Flow,1406
4317,Technologies (Mitigation) – Buildings And Homes Technologies,Mitigation – Mitigation,358
4318,Technologies (Mitigation) – Energy And Power Technologies,Technologies (Mitigation) – Buildings And Homes Technologies,1284
4319,Policy Instruments – Regulatory Instruments,Greenhouse Gases – Carbon Dioxide,3268
4320,Sectors – Water Services,Greenhouse Gases – Carbon Dioxide,886
4321,Sectors – Water Services,Renewables – Bioenergy,1838
4322,Mitigation – Mitigation,Greenhouse Gases – Carbon Dioxide,1493
4323,Renewables – Bioenergy,Greenhouse Gases – Carbon Dioxide,2215
4324,Sectors – Insurance & Financial Services,Mitigation – Mitigation,8377
4325,Policy Instruments – Economic Instruments,Mitigation – Mitigation,10878
4326,Sectors – Energy,Good Practice And Opportunities – Good Practice,655
4327,Policy Instruments – Regulatory Instruments,Good Practice And Opportunities – Good Practice,554
4328,Mitigation – Mitigation,Capacity Building – Capacity-Building,3438
4329,Greenhouse Gases – Emissions,Capacity Building – Capacity-Building,2136
4330,Policy Instruments – Economic Instruments,Capacity Building – Capacity-Building,3789
4331,Financial Flows – Financial Flow,Barriers And Challenges – Challenges,10958
4332,Sectors – Insurance & Financial Services,Barriers And Challenges – Challenges,4788
4333,Policy Instruments – Economic Instruments,Barriers And Challenges – Challenges,5528
4334,Sectors – Insurance & Financial Services,Adaptation – Adaptation,12807
4335,Sectors – Insurance & Financial Services,Capacity Building – Capacity-Building,4807
4336,Capacity Building – Capacity-Building,Adaptation – Adaptation,4007
4337,Barriers And Challenges – Challenges,Adaptation – Adaptation,7888
4338,Capacity Building – Capacity-Building,Barriers And Challenges – Challenges,2032
4339,Technologies (Adaptation) – Hazard Management Technologies,Financial Flows – Financial Flow,1697
4340,Technologies (Adaptation) – Hazard Management Technologies,Policy Instruments – Economic Instruments,573
4341,Technologies (Adaptation) – Hazard Management Technologies,Sectors – Insurance & Financial Services,471
4342,Technologies (Adaptation) – Hazard Management Technologies,Adaptation – Adaptation,3384
4343,Technologies (Adaptation) – Hazard Management Technologies,Mitigation – Mitigation,554
4344,Technologies (Adaptation) – Hazard Management Technologies,Greenhouse Gases – Greenhouse Gases,784
4345,Technologies (Adaptation) – Hazard Management Technologies,Sectors – Energy,322
4346,Greenhouse Gases – Greenhouse Gases,Financial Flows – Financial Flow,25017
4347,Financial Flows – Financial Flow,Capacity Building – Capacity-Building,6716
4348,Good Practice And Opportunities – Success,Financial Flows – Financial Flow,1883
4349,Barriers And Challenges – Barriers,Adaptation – Adaptation,3542
4350,Technologies (Mitigation) – Energy And Power Technologies,Adaptation – Adaptation,1055
4351,Good Practice And Opportunities – Success,Adaptation – Adaptation,1384
4352,Policy Instruments – Regulatory Instruments,Adaptation – Adaptation,6493
4353,Mitigation – Mitigation,Barriers And Challenges – Barriers,2520
4354,Mitigation – Mitigation,Good Practice And Opportunities – Success,595
4355,Barriers And Challenges – Challenges,Barriers And Challenges – Barriers,2662
4356,Technologies (Mitigation) – Energy And Power Technologies,Barriers And Challenges – Challenges,887
4357,Good Practice And Opportunities – Success,Barriers And Challenges – Challenges,579
4358,Policy Instruments – Regulatory Instruments,Barriers And Challenges – Challenges,2907
4359,Policy Instruments – Economic Instruments,Good Practice And Opportunities – Success,811
4360,Good Practice And Opportunities – Success,Barriers And Challenges – Barriers,272
4361,Sectors – Insurance & Financial Services,Barriers And Challenges – Barriers,2113
4362,Greenhouse Gases – Greenhouse Gases,Barriers And Challenges – Barriers,2921
4363,Greenhouse Gases – Emissions,Barriers And Challenges – Barriers,4955
4364,Capacity Building – Capacity-Building,Barriers And Challenges – Barriers,500
4365,Technologies (Mitigation) – Energy And Power Technologies,Good Practice And Opportunities – Success,180
4366,Technologies (Mitigation) – Energy And Power Technologies,Technologies (Mitigation) – Energy And Power Technologies,4968
4367,Technologies (Mitigation) – Energy And Power Technologies,Greenhouse Gases – Greenhouse Gases,3667
4368,Technologies (Mitigation) – Energy And Power Technologies,Capacity Building – Capacity-Building,247
4369,Sectors – Energy,Good Practice And Opportunities – Success,664
4370,Sectors – Energy,Capacity Building – Capacity-Building,1259
4371,Sectors – Insurance & Financial Services,Good Practice And Opportunities – Success,598
4372,Greenhouse Gases – Greenhouse Gases,Good Practice And Opportunities – Success,562
4373,Greenhouse Gases – Emissions,Good Practice And Opportunities – Success,960
4374,Policy Instruments – Regulatory Instruments,Good Practice And Opportunities – Success,462
4375,Good Practice And Opportunities – Success,Capacity Building – Capacity-Building,178
4376,Greenhouse Gases – Greenhouse Gases,Capacity Building – Capacity-Building,2511
4377,Policy Instruments – Regulatory Instruments,Capacity Building – Capacity-Building,513
4378,Capacity Building – Capacity-Building,Capacity Building – Capacity-Building,2816
4379,Deforestation – Deforestation,Adaptation – Adaptation,688
4380,Deforestation – Forests,Capacity Building – Capacity-Building,905
4381,Deforestation – Deforestation,Capacity Building – Capacity-Building,115
4382,"Sectors – Agriculture, Forestry And Other Land Use",Capacity Building – Capacity-Building,1240
4383,Technologies (Mitigation) – Energy And Power Technologies,Sectors – Transport,2601
4384,Sectors – Transport,Policy Instruments – Regulatory Instruments,13818
4385,Policy Instruments – Information And Education,Capacity Building – Capacity-Building,5069
4386,Technologies (Adaptation) – Hazard Management Technologies,Sectors – Industry,168
4387,Technologies (Adaptation) – Hazard Management Technologies,"Sectors – Agriculture, Forestry And Other Land Use",2968
4388,Technologies (Adaptation) – Hazard Management Technologies,Greenhouse Gases – Emissions,1138
4389,Adaptation – Adaptation,Adaptation – Adaptation,37335
4390,Technologies (Adaptation) – Hazard Management Technologies,Capacity Building – Capacity-Building,277
4391,Greenhouse Gases – Sulphur Hexafluoride,Barriers And Challenges – Challenges,119
4392,Greenhouse Gases – Methane,Barriers And Challenges – Challenges,343
4393,Greenhouse Gases – Hydrofluorocarbons,Barriers And Challenges – Challenges,171
4394,Technologies (Mitigation) – Waste And Recycling Technologies,Barriers And Challenges – Challenges,204
4395,Greenhouse Gases – Perfluorocarbons,Barriers And Challenges – Challenges,95
4396,Policy Instruments – Governance,Greenhouse Gases – Sulphur Hexafluoride,249
4397,Policy Instruments – Governance,Greenhouse Gases – Methane,915
4398,Policy Instruments – Governance,Greenhouse Gases – Hydrofluorocarbons,439
4399,Technologies (Mitigation) – Waste And Recycling Technologies,Policy Instruments – Governance,359
4400,Policy Instruments – Governance,Greenhouse Gases – Perfluorocarbons,281
4401,Technologies (Mitigation) – Waste And Recycling Technologies,Sectors – Industry,2079
4402,Greenhouse Gases – Sulphur Hexafluoride,Greenhouse Gases – Methane,1774
4403,Technologies (Mitigation) – Waste And Recycling Technologies,Greenhouse Gases – Sulphur Hexafluoride,22
4404,Greenhouse Gases – Methane,Greenhouse Gases – Hydrofluorocarbons,2403
4405,Technologies (Mitigation) – Waste And Recycling Technologies,Greenhouse Gases – Methane,767
4406,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Methane,1668
4407,Technologies (Mitigation) – Waste And Recycling Technologies,Greenhouse Gases – Hydrofluorocarbons,77
4408,Technologies (Mitigation) – Waste And Recycling Technologies,Greenhouse Gases – Perfluorocarbons,40
4409,Sectors – Water Services,Renewables – Renewable Energy (General),1085
4410,Sectors – Water Services,Deforestation – Deforestation,421
4411,Renewables – Hydropower,Policy Instruments – Governance,168
4412,Renewables – Renewable Energy (General),Policy Instruments – Governance,1943
4413,Renewables – Hydropower,Greenhouse Gases – Greenhouse Gases,1313
4414,Renewables – Renewable Energy (General),Greenhouse Gases – Greenhouse Gases,7537
4415,Greenhouse Gases – Greenhouse Gases,Deforestation – Deforestation,2415
4416,Renewables – Hydropower,Deforestation – Deforestation,60
4417,Renewables – Renewable Energy (General),Deforestation – Deforestation,255
4418,Greenhouse Gases – Hydrofluorocarbons,Good Practice And Opportunities – Good Practice,59
4419,Policy Instruments – Information And Education,Adaptation – Adaptation,13273
4420,Greenhouse Gases – Methane,Greenhouse Gases – Carbon Dioxide,7507
4421,Greenhouse Gases – Carbon Dioxide,Fossil Fuels – Gas,4345
4422,Sectors – Insurance & Financial Services,Sectors – Industry,3075
4423,International Cooperation – International Cooperation,Barriers And Challenges – Challenges,211
4424,Good Practice And Opportunities – Good Practice,Barriers And Challenges – Challenges,287
4425,Good Practice And Opportunities – Opportunity,Barriers And Challenges – Challenges,3056
4426,International Cooperation – International Cooperation,Good Practice And Opportunities – Good Practice,83
4427,International Cooperation – International Cooperation,Good Practice And Opportunities – Opportunity,271
4428,Good Practice And Opportunities – Opportunity,Good Practice And Opportunities – Good Practice,437
4429,Policy Instruments – Information And Education,Loss And Damage – Loss & Damage,211
4430,Policy Instruments – Regulatory Instruments,Loss And Damage – Loss & Damage,55
4431,Sectors – Health Services,Policy Instruments – Regulatory Instruments,2864
4432,Sectors – Health Services,Loss And Damage – Loss & Damage,164
4433,Sectors – Buildings,Greenhouse Gases – Emissions,5559
4434,Sectors – Buildings,Greenhouse Gases – Greenhouse Gases,2983
4435,Sectors – Transport,Sectors – Buildings,1216
4436,Sectors – Transport,Greenhouse Gases – Greenhouse Gases,10670
4437,Technologies (Mitigation) – Carbon Capture And Storage,Technologies (Mitigation) – Carbon Capture And Storage,4222
4438,Technologies (Mitigation) – Carbon Capture And Storage,Sectors – Energy,3487
4439,Technologies (Mitigation) – Carbon Capture And Storage,Sectors – Industry,2561
4440,Sectors – Energy,International Cooperation – International Cooperation,294
4441,Sectors – Fisheries & Aquaculture,"Sectors – Agriculture, Forestry And Other Land Use",12505
4442,Sectors – Fisheries & Aquaculture,Deforestation – Forests,2421
4443,Sectors – Health Services,Policy Instruments – Economic Instruments,2433
4444,Sectors – Water Services,Adaptation – Adaptation,8229
4445,Technologies (Mitigation) – Buildings And Homes Technologies,Renewables – Renewable Energy (General),665
4446,Sectors – Industry,Capacity Building – Capacity-Building,471
4447,Sectors – Industry,Good Practice And Opportunities – Opportunity,2741
4448,Good Practice And Opportunities – Opportunity,Capacity Building – Capacity-Building,622
4449,Good Practice And Opportunities – Good Practice,Adaptation – Adaptation,875
4450,Good Practice And Opportunities – Opportunity,Adaptation – Adaptation,6206
4451,Mitigation – Mitigation,Good Practice And Opportunities – Good Practice,427
4452,Sectors – Buildings,Mitigation – Mitigation,1136
4453,Greenhouse Gases – Greenhouse Gases,Good Practice And Opportunities – Case Study,61
4454,Technologies (Adaptation) – Hazard Management Technologies,Deforestation – Deforestation,356
4455,Technologies (Adaptation) – Hazard Management Technologies,Deforestation – Rainforests,5
4456,Deforestation – Tropical Forests,Deforestation – Forests,1497
4457,Deforestation – Tropical Forests,Deforestation – Deforestation,207
4458,"Sectors – Agriculture, Forestry And Other Land Use",Deforestation – Tropical Forests,523
4459,Policy Instruments – Information And Education,Policy Instruments – Governance,4971
4460,Greenhouse Gases – Greenhouse Gases,Fossil Fuels – Oil,24064
4461,Sectors – Industry,Fossil Fuels – Oil,9699
4462,Fossil Fuels – Oil,Fossil Fuels – Gas,10894
4463,Sectors – Industry,Fossil Fuels – Gas,6890
4464,Sectors – Industry,Greenhouse Gases – Ozone-Depleting Substances,1230
4465,Sectors – Industry,Sectors – Buildings,2583
4466,Sectors – Industry,Renewables – Renewable Energy (General),1955
4467,Renewables – Renewable Energy (General),Fossil Fuels – Gas,1994
4468,Renewables – Renewable Energy (General),Fossil Fuels – Oil,2745
4469,Policy Instruments – Regulatory Instruments,Fossil Fuels – Gas,7770
4470,Fossil Fuels – Gas,Fossil Fuels – Gas,10507
4471,Sectors – Transport,Fossil Fuels – Gas,2250
4472,Sectors – Transport,Fossil Fuels – Oil,6628
4473,Greenhouse Gases – Nitrous Oxide,Fossil Fuels – Oil,141
4474,Fossil Fuels – Oil,Fossil Fuels – Oil,21194
4475,Greenhouse Gases – Methane,Fossil Fuels – Oil,2205
4476,Sectors – Transport,Greenhouse Gases – Nitrous Oxide,158
4477,Sectors – Transport,Greenhouse Gases – Methane,743
4478,Sectors – Transport,Sectors – Tourism,1038
4479,Sectors – Transport,Policy Instruments – Information And Education,4007
4480,Sectors – Water Services,Sectors – Transport,354
4481,Sectors – Fisheries & Aquaculture,Greenhouse Gases – Emissions,2564
4482,Sectors – Buildings,Renewables – Bioenergy,381
4483,Sectors – Fisheries & Aquaculture,Renewables – Bioenergy,516
4484,"Sectors – Agriculture, Forestry And Other Land Use",Fossil Fuels – Oil,2412
4485,Policy Instruments – Information And Education,Greenhouse Gases – Ozone-Depleting Substances,109
4486,Sectors – Buildings,Greenhouse Gases – Hydrofluorocarbons,123
4487,Technologies (Mitigation) – Waste And Recycling Technologies,Greenhouse Gases – Ozone,30
4488,Greenhouse Gases – Ozone,Greenhouse Gases – Emissions,2674
4489,Greenhouse Gases – Ozone,Capacity Building – Capacity-Building,23
4490,Policy Instruments – Governance,Greenhouse Gases – Ozone,338
4491,Technologies (Mitigation) – Waste And Recycling Technologies,Policy Instruments – Information And Education,1105
4492,Technologies (Mitigation) – Waste And Recycling Technologies,Capacity Building – Capacity-Building,58
4493,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Ozone,422
4494,Policy Instruments – Regulatory Instruments,Greenhouse Gases – Perfluorocarbons,639
4495,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Hydrochlorofluorocarbons,73
4496,Greenhouse Gases – Hydrochlorofluorocarbons,Greenhouse Gases – Emissions,323
4497,Greenhouse Gases – Sulphur Hexafluoride,Greenhouse Gases – Ozone,312
4498,Policy Instruments – Regulatory Instruments,Greenhouse Gases – Ozone,746
4499,Greenhouse Gases – Ozone,Greenhouse Gases – Hydrochlorofluorocarbons,282
4500,Policy Instruments – Regulatory Instruments,Greenhouse Gases – Sulphur Hexafluoride,858
4501,Greenhouse Gases – Sulphur Hexafluoride,Greenhouse Gases – Hydrochlorofluorocarbons,96
4502,Sectors – Industry,Greenhouse Gases – Hydrochlorofluorocarbons,253
4503,Policy Instruments – Regulatory Instruments,Greenhouse Gases – Hydrofluorocarbons,1906
4504,Policy Instruments – Regulatory Instruments,Greenhouse Gases – Hydrochlorofluorocarbons,149
4505,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Hydrochlorofluorocarbons,444
4506,Greenhouse Gases – Hydrochlorofluorocarbons,Greenhouse Gases – Greenhouse Gases,281
4507,Sectors – Energy,Greenhouse Gases – Ozone-Depleting Substances,852
4508,Greenhouse Gases – Sulphur Hexafluoride,Greenhouse Gases – Sulphur Hexafluoride,1408
4509,Policy Instruments – Information And Education,Greenhouse Gases – Sulphur Hexafluoride,79
4510,Policy Instruments – Information And Education,Greenhouse Gases – Perfluorocarbons,95
4511,"Sectors – Agriculture, Forestry And Other Land Use",Climate Related Hazards – Environmental Degradatation,7877
4512,Sectors – Industry,Climate Related Hazards – Environmental Degradatation,374
4513,Technologies (Mitigation) – Agriculture And Land Management Technologies,Deforestation – Forest-Risk Commodities,1510
4514,Technologies (Mitigation) – Agriculture And Land Management Technologies,"Sectors – Agriculture, Forestry And Other Land Use",4858
4515,Technologies (Mitigation) – Agriculture And Land Management Technologies,Greenhouse Gases – Greenhouse Gases,1678
4516,Technologies (Mitigation) – Agriculture And Land Management Technologies,Policy Instruments – Information And Education,431
4517,Technologies (Mitigation) – Agriculture And Land Management Technologies,Policy Instruments – Governance,329
4518,Technologies (Mitigation) – Agriculture And Land Management Technologies,Sectors – Water Services,1998
4519,Technologies (Mitigation) – Agriculture And Land Management Technologies,Policy Instruments – Regulatory Instruments,1878
4520,Technologies (Mitigation) – Agriculture And Land Management Technologies,Greenhouse Gases – Emissions,9460
4521,"Sectors – Agriculture, Forestry And Other Land Use",Deforestation – Afforestation,3121
4522,Renewables – Bioenergy,Deforestation – Afforestation,679
4523,Deforestation – Forests,Deforestation – Afforestation,6020
4524,Greenhouse Gases – Emissions,Deforestation – Afforestation,1790
4525,Policy Instruments – Governance,Deforestation – Afforestation,263
4526,Sectors – Water Services,Financial Flows – Financial Flow,9248
4527,Sectors – Insurance & Financial Services,Renewables – Bioenergy,281
4528,Sectors – Water Services,Sectors – Insurance & Financial Services,864
4529,Technologies (Mitigation) – Waste And Recycling Technologies,Sectors – Health Services,164
4530,Sectors – Health Services,Greenhouse Gases – Greenhouse Gases,1102
4531,Sectors – Water Services,Sectors – Health Services,2782
4532,Fossil Fuels – Gas,Deforestation – Forests,1297
4533,Fossil Fuels – Oil,Deforestation – Forests,1393
4534,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Hydrofluorocarbons,1134
4535,Greenhouse Gases – Nitrous Oxide,Greenhouse Gases – Nitrous Oxide,1161
4536,Greenhouse Gases – Nitrous Oxide,Deforestation – Forests,775
4537,Greenhouse Gases – Greenhouse Gases,Good Practice And Opportunities – Opportunity,3142
4538,Policy Instruments – Governance,Climate Related Hazards – Extreme Weather,2221
4539,Policy Instruments – Information And Education,Good Practice And Opportunities – Success,1076
4540,Good Practice And Opportunities – Good Practice,Financial Flows – Financial Flow,928
4541,Sectors – Insurance & Financial Services,Policy Instruments – Information And Education,3244
4542,Policy Instruments – Governance,Greenhouse Gases – Ozone-Depleting Substances,119
4543,Policy Instruments – Governance,Deforestation – Forest-Risk Commodities,919
4544,Technologies (Mitigation) – Agriculture And Land Management Technologies,Greenhouse Gases – Ozone-Depleting Substances,9
4545,"Sectors – Agriculture, Forestry And Other Land Use",Greenhouse Gases – Ozone-Depleting Substances,248
4546,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Greenhouse Gases,1340
4547,Greenhouse Gases – Ozone-Depleting Substances,Deforestation – Forest-Risk Commodities,18
4548,Technologies (Mitigation) – Agriculture And Land Management Technologies,Technologies (Mitigation) – Agriculture And Land Management Technologies,1274
4549,Greenhouse Gases – Greenhouse Gases,Deforestation – Forest-Risk Commodities,2519
4550,Good Practice And Opportunities – Opportunity,Financial Flows – Financial Flow,9401
4551,Policy Instruments – Governance,Barriers And Challenges – Barriers,1384
4552,Barriers And Challenges – Barriers,Barriers And Challenges – Barriers,1759
4553,Vulnerable Groups – Local And Rural Communities,Barriers And Challenges – Barriers,103
4554,Vulnerable Groups – Indigenous People,Barriers And Challenges – Barriers,213
4555,Good Practice And Opportunities – Good Practice,Equity And Just Transition – Equity And Justice,24
4556,Policy Instruments – Information And Education,Equity And Just Transition – Equity And Justice,789
4557,Greenhouse Gases – Carbon Dioxide,Deforestation – Deforestation,496
4558,Greenhouse Gases – Carbon Dioxide,Deforestation – Forests,4589
4559,Fossil Fuels – Coal,Deforestation – Deforestation,796
4560,Mitigation – Mitigation,Fossil Fuels – Coal,845
4561,Renewables – Hydropower,Fossil Fuels – Coal,690
4562,"Sectors – Agriculture, Forestry And Other Land Use",Fossil Fuels – Coal,2516
4563,Greenhouse Gases – Emissions,Fossil Fuels – Coal,12734
4564,Sectors – Energy,Fossil Fuels – Coal,9386
4565,Greenhouse Gases – Greenhouse Gases,Fossil Fuels – Coal,9158
4566,Renewables – Bioenergy,Fossil Fuels – Coal,2201
4567,Fossil Fuels – Coal,Deforestation – Forests,2362
4568,Fossil Fuels – Coal,Fossil Fuels – Coal,11226
4569,"Sectors – Agriculture, Forestry And Other Land Use",Renewables – Hydropower,415
4570,Renewables – Bioenergy,Greenhouse Gases – Greenhouse Gases,12322
4571,International Cooperation – International Cooperation,Capacity Building – Capacity-Building,217
4572,Policy Instruments – Governance,International Cooperation – International Cooperation,514
4573,Greenhouse Gases – Greenhouse Gases,Barriers And Challenges – Lessons Learned,136
4574,Fossil Fuels – Gas,Deforestation – Deforestation,97
4575,Policy Instruments – Governance,Fossil Fuels – Gas,924
4576,Fossil Fuels – Gas,Barriers And Challenges – Lessons Learned,10
4577,Greenhouse Gases – Methane,Deforestation – Deforestation,140
4578,Deforestation – Deforestation,Barriers And Challenges – Lessons Learned,4
4579,Mitigation – Mitigation,Barriers And Challenges – Lessons Learned,84
4580,Greenhouse Gases – Methane,Barriers And Challenges – Lessons Learned,8
4581,Policy Instruments – Governance,Barriers And Challenges – Lessons Learned,191
4582,"Sectors – Agriculture, Forestry And Other Land Use",Barriers And Challenges – Lessons Learned,72
4583,Sectors – Industry,Barriers And Challenges – Lessons Learned,44
4584,Renewables – Renewable Energy (General),Deforestation – Forests,1685
4585,Renewables – Solar Energy,Deforestation – Forests,421
4586,"Sectors – Agriculture, Forestry And Other Land Use",Renewables – Renewable Energy (General),1336
4587,Renewables – Solar Energy,Policy Instruments – Governance,275
4588,Renewables – Solar Energy,Greenhouse Gases – Emissions,3178
4589,"Sectors – Agriculture, Forestry And Other Land Use",Renewables – Solar Energy,877
4590,Renewables – Solar Energy,Greenhouse Gases – Greenhouse Gases,2790
4591,Technologies (Mitigation) – Energy And Power Technologies,Deforestation – Forests,1043
4592,Technologies (Mitigation) – Energy And Power Technologies,Policy Instruments – Governance,1006
4593,Renewables – Wind Energy,Renewables – Hydropower,745
4594,Renewables – Hydropower,Renewables – Hydropower,1652
4595,Sectors – Transport,Renewables – Hydropower,160
4596,Renewables – Hydropower,Fossil Fuels – Gas,479
4597,Renewables – Wind Energy,Fossil Fuels – Oil,367
4598,Fossil Fuels – Oil,Fossil Fuels – Coal,4610
4599,Renewables – Bioenergy,Fossil Fuels – Oil,7816
4600,Renewables – Solar Energy,Fossil Fuels – Oil,1870
4601,Renewables – Renewable Energy (General),Fossil Fuels – Coal,2315
4602,Sectors – Transport,Renewables – Renewable Energy (General),2190
4603,Renewables – Wind Energy,Fossil Fuels – Coal,498
4604,Renewables – Wind Energy,Greenhouse Gases – Greenhouse Gases,779
4605,Sectors – Transport,Renewables – Wind Energy,121
4606,Renewables – Wind Energy,Fossil Fuels – Gas,268
4607,Renewables – Wind Energy,Renewables – Solar Energy,3109
4608,Sectors – Transport,Fossil Fuels – Coal,496
4609,Fossil Fuels – Gas,Fossil Fuels – Coal,4675
4610,Renewables – Solar Energy,Fossil Fuels – Coal,955
4611,Sectors – Transport,Renewables – Bioenergy,2661
4612,Sectors – Transport,Renewables – Solar Energy,471
4613,Renewables – Bioenergy,Fossil Fuels – Gas,4438
4614,Renewables – Solar Energy,Fossil Fuels – Gas,950
4615,Fossil Fuels – Oil,Financial Flows – Financial Flow,14714
4616,Fossil Fuels – Oil,Deforestation – Forest-Risk Commodities,1826
4617,Policy Instruments – Economic Instruments,Fossil Fuels – Oil,5178
4618,"Sectors – Agriculture, Forestry And Other Land Use",Greenhouse Gases – Ozone,683
4619,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Ozone,1339
4620,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Emissions,2677
4621,Technologies (Mitigation) – Agriculture And Land Management Technologies,Sectors – Industry,181
4622,Sectors – Industry,Greenhouse Gases – Nitrous Oxide,1944
4623,Greenhouse Gases – Perfluorocarbons,Deforestation – Forests,382
4624,Greenhouse Gases – Methane,Deforestation – Forests,2061
4625,Technologies (Mitigation) – Agriculture And Land Management Technologies,Deforestation – Forests,610
4626,Greenhouse Gases – Perfluorocarbons,Deforestation – Forest-Risk Commodities,49
4627,Renewables – Bioenergy,Deforestation – Forest-Risk Commodities,2461
4628,Greenhouse Gases – Methane,Deforestation – Forest-Risk Commodities,2184
4629,Greenhouse Gases – Nitrous Oxide,Deforestation – Forest-Risk Commodities,315
4630,"Sectors – Agriculture, Forestry And Other Land Use",Greenhouse Gases – Perfluorocarbons,727
4631,Policy Instruments – Governance,Greenhouse Gases – Nitrous Oxide,204
4632,Renewables – Bioenergy,Greenhouse Gases – Perfluorocarbons,81
4633,Technologies (Mitigation) – Agriculture And Land Management Technologies,Greenhouse Gases – Perfluorocarbons,14
4634,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Nitrous Oxide,925
4635,Technologies (Mitigation) – Agriculture And Land Management Technologies,Renewables – Bioenergy,605
4636,Renewables – Bioenergy,Greenhouse Gases – Nitrous Oxide,468
4637,Technologies (Mitigation) – Agriculture And Land Management Technologies,Greenhouse Gases – Methane,2209
4638,Technologies (Mitigation) – Agriculture And Land Management Technologies,Greenhouse Gases – Nitrous Oxide,792
4639,Fossil Fuels – Gas,Deforestation – Forest-Risk Commodities,1316
4640,Greenhouse Gases – Carbon Dioxide,Deforestation – Forest-Risk Commodities,406
4641,Greenhouse Gases – Carbon Dioxide,Fossil Fuels – Oil,1523
4642,Greenhouse Gases – Nitrous Oxide,Greenhouse Gases – Carbon Dioxide,3530
4643,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Carbon Dioxide,5890
4644,Greenhouse Gases – Sulphur Hexafluoride,Greenhouse Gases – Nitrous Oxide,1019
4645,Greenhouse Gases – Nitrous Oxide,Greenhouse Gases – Hydrofluorocarbons,1167
4646,"Sectors – Agriculture, Forestry And Other Land Use",Greenhouse Gases – Sulphur Hexafluoride,807
4647,Sectors – Insurance & Financial Services,Greenhouse Gases – Sulphur Hexafluoride,23
4648,Policy Instruments – Information And Education,Greenhouse Gases – Methane,762
4649,Greenhouse Gases – Ozone,Greenhouse Gases – Methane,515
4650,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Methane,147
4651,Sectors – Energy,Greenhouse Gases – Nitrous Oxide,2680
4652,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Nitrous Oxide,43
4653,Greenhouse Gases – Ozone,Greenhouse Gases – Nitrous Oxide,96
4654,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Ozone-Depleting Substances,423
4655,Greenhouse Gases – Sulphur Hexafluoride,Greenhouse Gases – Ozone-Depleting Substances,250
4656,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Perfluorocarbons,1110
4657,Policy Instruments – Governance,Greenhouse Gases – Carbon Dioxide,718
4658,Sectors – Water Services,Greenhouse Gases – Methane,4228
4659,Sectors – Industry,Fossil Fuels – Fossil Fuel,3315
4660,Fossil Fuels – Gas,Fossil Fuels – Fossil Fuel,2393
4661,Greenhouse Gases – Emissions,Fossil Fuels – Fossil Fuel,11663
